"species"	"IUCN_TS_sum.x"	"IUCN_TS_sum_InclOld.x"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"FD_G"	"ED"	"FDcat"	"EDcat"	"REC"	"OLD"	"PRED"	"Subset2"	"RLa"	"RLro"	"RLr"	"RLa_MLp_BS"	"RLro_MLpr_BS"	"RLr_MLpr_BS"	"RLa_MLp_WS"	"RLro_MLpr_WS"	"RLr_MLpr_WS"	"RLro_MLpr_EG_BS"	"RLro_MLpr_EG_WS"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"AOO2km"	"EOO_rCAT_conR2"	"HFI"	"HPD"	"FLO"	"bio4"	"bio15"	"Tflex_mean"	"Pflex_mean"	"ECO"	"TDWG3"	"preds"	"IUCN_TS_detail"	"IUCN_TS_sum.y"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld.y"
"Astrocaryum chonta"	"NE"	"NE"	"PREDICTED"	"LC"	"0.232"	"0.768"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"5.4"	"1.5"	"6.36172512351933"	"5.4"	"1.5"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.535297415361675"	"0.464702584638325"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.232423183161287	"4.19615432311148"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	56	13	22	172	415098.774147441	8.25491241897855	1.71773954161576	0.0623140338263641	53.4089999198914	37.8868490968432	0.791332195515598	0.325513819985825	4	2	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum ciliatum"	"NE"	"NE"	"PREDICTED"	"LC"	"0.374"	"0.626"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"AE"	"1"	"NA"	"4.9"	"2.8"	"20.1145705633842"	"4.9"	"2.8"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"nonLC"	"0.571775162394653"	"0.428224837605347"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.307970913727428	"5.43215084038186"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	20	9	10	60	35646.506183555	6.52075827121735	0.735442454367876	0.0143190633389167	57.2201995849609	22.1245779037476	0.823939838531806	0.503640187671898	3	3	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum confertum"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"LC"	"NA"	"NA"	"NA"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"3"	"3"	"14.1371669411541"	"3"	"3"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	0.223669584883649	"5.49523144276988"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum echinatum"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.97"	"0.03"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"NA"	"4.2"	"3.2"	"22.5189361409316"	"4.2"	"3.2"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.741945538765158"	"0.258054461234842"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.237929283278967	"5.41306296035675"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	1	1	1	4	NA	37.7905502319336	1.80902481079102	0.0341903641819954	145.714141845703	73.8784561157227	0.702135980202669	0.0584192439862543	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum faranae"	"NE"	"NE"	"PREDICTED"	"LC"	"0.55"	"0.45"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"6.1"	"1.8"	"10.3484062009248"	"6.1"	"1.8"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.698873253625481"	"0.301126746374519"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.255867938856655	"3.49587806189288"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	4	2	2	12	24.5158157360306	9.36353635787964	16.5869028270245	0.0614114124182379	51.4509296417236	41.7041530609131	0.788898076654329	0.220512820512821	1	2	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum farinosum"	"NE"	"NE"	"PREDICTED"	"LC"	"0.518"	"0.482"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"AE"	"1"	"NA"	"6.2"	"3.7"	"44.4420168752324"	"6.2"	"3.7"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.636583629516949"	"0.363416370483051"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.307937185173392	"4.91055139938832"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	2	2	2	8	20956	9.54465818405151	4.44672203063965	0.0122804357670248	56.3952941894531	60.0545711517334	0.829487330271191	0.210914454277286	2	3	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum ferrugineum"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"LC"	"NA"	"NA"	"NA"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"5.3"	"5.25"	"76.487963637869"	"5.3"	"5.25"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	0.239944806259024	"4.12784349456366"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum giganteum"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"LC"	"NA"	"NA"	"NA"	"LC"	"LC"	"Americas"	"A"	"1"	"NA"	"4"	"2.5"	"13.0899693899575"	"4"	"2.5"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	0.339646605063766	"5.62292487328288"	"YES"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum gratum"	"NE"	"NE"	"PREDICTED"	"LC"	"0.19"	"0.81"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"9.6"	"5.35"	"3.5"	"34.3153547557735"	"5.35"	"3.5"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"YES"	"YES"	"YES"	"nonLC"	"0.516121912934852"	"0.483878087065148"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.270602951187147	"3.23179400031824"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	74	16	27	192	249694.634518641	15.7603736439267	7.21850014417558	0.10290236378441	146.592751322566	55.3090184701456	0.741351388111751	0.19657767626465	4	2	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum huaimi"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.09"	"0.91"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	"1"	"7.6"	"3.55"	"2.75"	"14.0569908786406"	"3.55"	"2.75"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"LC"	"0.377538900487354"	"0.622461099512646"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	0.25737348585195	"5.21584121600019"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"LC"	"LC"	"LC"	"LC"	26	21	21	92	1375685.95896948	17.0552218510554	3.41160076398116	0.0428777622135105	135.123079740084	69.4414529066819	0.721120109076218	0.0902072909220872	6	3	"YES"	"NE"	"NE"	"Possibly Threatened"	"nonLC"
"Astrocaryum huicungo"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Americas"	"E"	"1"	"NA"	"5"	"3.5"	"32.0704250053958"	"5"	"3.5"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"YES"	"YES"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.285064483367257	"4.17209236485161"	"YES"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"Data Deficient"	"NE"
"Astrocaryum jauari"	"NE"	"NE"	"PREDICTED"	"LC"	"0.124"	"0.876"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"8.5"	"3.5"	"2.4"	"10.5557513160617"	"3.5"	"2.4"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"LC"	"0.131519256007839"	"0.868480743992161"	"NA"	"LC"	"LC"	"LC"	"LC"	0.239167226032511	"5.2222723907615"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	105	60	69	308	4885410.6224426	10.3271528062366	3.81407603479124	0.0524712486297219	53.2659760974702	35.7682535216922	0.805391873354142	0.36739198010569	17	9	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum javarense"	"NE"	"NE"	"PREDICTED"	"LC"	"0.38"	"0.62"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"7.05"	"5.1"	"1.6"	"6.83610561421139"	"5.1"	"1.6"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.685586193214008"	"0.314413806785992"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.279712836592055	"3.47702521369668"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	24	4	11	80	3645.55153640726	11.9022609790166	6.33642741044362	0.0333336539964269	42.9794898033142	23.3914437294006	0.809386012929782	0.477629118112501	1	2	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum macrocalyx"	"NE"	"NE"	"PREDICTED"	"LC"	"0.236"	"0.764"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"8"	"6.5"	"176.976386152225"	"8"	"6.5"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"YES"	"YES"	"YES"	"YES"	"NO"	"LC"	"0.499640352436666"	"0.500359647563334"	"NA"	"LC"	"LC"	"LC"	"LC"	0.246905208680578	"3.51276195475247"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	62	23	31	196	170266.852424399	10.6958186741798	12.9561086551797	0.0537835128301184	45.5159806897563	19.0613059536103	0.811457211872024	0.572653146560737	4	2	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum malybo"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.238"	"0.762"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"A"	"1"	"9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"	"nonLC"	"0.510271882886557"	"0.489728117113443"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.339363981047652	"6.35079811538053"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	21	20	20	84	153990.5195031	32.4292374565488	55.7029351961045	0.106063482174206	38.298034123012	51.455371493385	0.81558462739195	0.13745045390615	6	1	"YES"	"NE"	"NE"	"Threatened"	"nonLC"
"Astrocaryum mexicanum"	"NE"	"NE"	"PREDICTED"	"LC"	"0.314"	"0.686"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"4.25"	"3.5"	"1.8"	"5.93761011528471"	"3.5"	"1.8"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"	"LC"	"0.160082546930338"	"0.839917453069662"	"NA"	"LC"	"LC"	"LC"	"LC"	0.223090105998397	"9.9563621550432"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	95	50	64	344	325015.758266462	29.247774294803	74.6998320905786	0.0795225487911682	195.085595542506	65.790115677683	0.736895518937007	0.117644082376157	10	8	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum minus"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"NA"	"1.2"	"1"	"0.628318530717959"	"1.2"	"1"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.256079131430916	"9.20150744497336"	"NO"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"CR"	"nonLC"
"Astrocaryum murumuru"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.054"	"0.946"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	"1"	"10.1"	"7.25"	"4.1"	"63.8122917791037"	"7.25"	"4.1"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"0.24328241362829"	"0.75671758637171"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	0.252826857789811	"3.24283586991166"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"LC"	"LC"	"LC"	"LC"	17	14	14	60	2298261.71992885	15.0461328169879	144.492857596426	0.0953685916645233	53.0546891829547	53.9369374443503	0.792679617000877	0.17896900154136	9	5	"YES"	"NE"	"NE"	"Threatened"	"nonLC"
"Astrocaryum paramaca"	"NE"	"NE"	"PREDICTED"	"LC"	"0.55"	"0.45"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"7.65"	"3.75"	"2.25"	"9.94019550549895"	"3.75"	"2.25"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.577281912343629"	"0.422718087656371"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.224228518906883	"9.69350919879781"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	4	4	4	16	198403.8945867	10.9633547067642	18.3736287727952	0.0972701652353862	61.4762229919434	51.8376884460449	0.819742435246814	0.162412993039443	3	3	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum perangustatum"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.742"	"0.258"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"6.8"	"8"	"2.3"	"22.15870018332"	"8"	"2.3"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.700023587280668"	"0.299976412719332"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.260238318824568	"3.82384277439622"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	7	4	5	28	67671.7666930296	9.18512501035418	5.88488667351859	0.0902992939310414	51.6359116690499	45.3165108816964	0.78392996202943	0.268264172998247	2	1	"YES"	"NE"	"NE"	"Data Deficient"	"NE"
"Astrocaryum rodriguesii"	"NE"	"NE"	"PREDICTED"	"LC"	"0.358"	"0.642"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"4"	"2.2"	"10.1368722955831"	"4"	"2.2"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.65433210030455"	"0.34566789969545"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.227892137103779	"9.05617468266352"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	1	1	1	4	NA	12.7949190139771	5.61571264266968	0.0655456706881523	58.8569107055664	58.0883827209473	0.814861301198385	0.145214521452145	1	3	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum sciophilum"	"NE"	"NE"	"PREDICTED"	"LC"	"0.194"	"0.806"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"10.3"	"6.75"	"3.25"	"37.330956453985"	"6.75"	"3.25"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"nonLC"	"0.556613427764617"	"0.443386572235383"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.235224122608745	"6.04291185093296"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	11	7	7	28	223414.815588397	10.414587801153	95.7893738367341	0.0165308368371122	58.6530050797896	58.7924863641912	0.821582341400085	0.160061365379698	2	4	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum scopatum"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.824"	"0.176"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.743789554879105"	"0.256210445120895"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.22044863329403	"5.54140068615937"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	1	1	1	4	NA	8.45334720611572	2.79589056968689	0.0176570564508438	33.1448974609375	16.4124794006348	0.803775576885551	0.630901287553648	1	1	"YES"	"NE"	"NE"	"Data Deficient"	"NE"
"Astrocaryum sociale"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.826"	"0.174"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"AE"	"1"	"5.15"	"5"	"3"	"23.5619449019234"	"5"	"3"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.733494134474949"	"0.266505865525051"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.309070204954159	"4.90609622299732"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	4	2	3	16	230.489558110749	29.7573171854019	1016.71531966329	0.0707751072477549	49.8366413116455	44.5931510925293	0.834894718837019	0.254071661237785	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum standleyanum"	"NE"	"NE"	"PREDICTED"	"LC"	"0.138"	"0.862"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"7.32"	"5.5"	"3.1"	"27.6748132842481"	"5.5"	"3.1"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"LC"	"0.242011125067582"	"0.757988874932418"	"NA"	"LC"	"LC"	"LC"	"LC"	0.236811418641154	"6.38659424449012"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	69	36	41	212	799465.40786748	32.0225082065748	111.270146770754	0.0517078030878084	52.2490239350692	55.7692681464596	0.842358314295055	0.205067825279427	9	4	"YES"	"NE"	"NE"	"NE"	"NE"
"Astrocaryum triandrum"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.882"	"0.118"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"NA"	"5"	"2.75"	"19.7985787023107"	"5"	"2.75"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.727563837355417"	"0.272436162644583"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.255172996271809	"5.38289397984467"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	2	2	2	8	2412	21.9583501815796	37.5297336578369	0.127855520695448	35.3940296173096	42.6701946258545	0.817598396753479	0.192457737321196	1	1	"YES"	"NE"	"NE"	"EN"	"nonLC"
"Astrocaryum tucuma"	"NE"	"NE"	"PREDICTED"	"LC"	"0.224"	"0.776"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"YES"	"YES"	"YES"	"NO"	"NO"	"LC"	"0.404456471419651"	"0.595543528580349"	"NA"	"LC"	"LC"	"LC"	"LC"	0.226040551645542	"5.38950006556991"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	1	1	1	4	NA	28.5858631134033	6.48329973220825	0.0842097103595734	63.8495674133301	70.7910842895508	0.834702478789204	0.0840840840840841	1	8	"YES"	"NE"	"NE"	"NE"	"NE"
