"species"	"Americas"	"AfricaWAsia"	"EAsiaPacific"	"Climbing"	"Acaulescent"	"Erect"	"StemSolitary"	"StemArmed"	"LeavesArmed"	"MaxStemHeight_m"	"MaxStemDia_cm"	"UnderstoreyCanopy"	"MaxLeafNumber"	"Max_Blade_Length_m"	"Max_Rachis_Length_m"	"Max_Petiole_length_m"	"AverageFruitLength_cm"	"MinFruitLength_cm"	"MaxFruitLength_cm"	"AverageFruitWidth_cm"	"MinFruitWidth_cm"	"MaxFruitWidth_cm"	"FruitSizeCategorical"	"FruitShape"	"Conspicuousness"	"AnimalFood"	"EnvironmentalUses"	"Fuels"	"GeneSources"	"HumanFood"	"InvertebrateFood"	"Materials"	"Medicines"	"Poisons"	"SocialUses"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"Expert"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"
"Calamus forbesii"	0	0	1	1	0	0	"0"	1	1	6	2	"canopy"	NA	1.5	NA	0.28	1.85	NA	NA	1.8	NA	NA	"small"	"ovoid"	"NA"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	1.78	1.85	1.8	3.1384510609362	1.85	1.8	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus formicarius"	0	0	1	1	0	0	"2"	1	1	20	2	"canopy"	NA	1.5	1.1	0.33	1.15	0.9	1.4	0.8	0.8	1.4	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.548293912592047"	"0.451706087407953"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	1.83	1.15	0.8	0.385368698840348	1.15	0.8	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus formosanus"	0	0	1	1	0	0	"0"	0	1	20	5	"canopy"	NA	2	2	NA	2	NA	NA	1	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	1	NA	2	1	1.0471975511966	2	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus foxworthyi"	0	0	1	1	0	0	"NA"	0	1	NA	NA	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"NA"	0	0	0	0	0	0	1	0	0	0	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus gamblei"	0	0	1	1	0	0	"0"	0	1	30	2.5	"canopy"	NA	1	1	NA	2	NA	NA	2	NA	NA	"small"	"ovoid"	"conspicuous"	0	0	0	0	0	0	0	1	0	0	"NE"	"NE"	"NO_ML"	NA	NA	NA	"LC"	NA	NA	NA	"LC"	"LC"	"EAsiaPacific"	"C"	1	NA	2	2	4.18879020478639	2	2	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	"YES"	"NO"	"NO"	"YES"	"NO"
"Calamus geniculatus"	0	0	1	1	0	0	"2"	0	1	20	4.5	"canopy"	NA	5	5	0.8	2.2	NA	NA	2.2	NA	NA	"small"	"ovoid"	"cryptic"	0	0	0	0	0	0	1	0	1	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.395257309719887"	"0.604742690280113"	NA	NA	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	1	5.8	2.2	2.2	5.57527976257069	2.2	2.2	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus georgei"	0	0	1	1	0	0	"0"	0	1	15	3	"canopy"	NA	2	2	0.55	1.1	NA	NA	0.8	NA	NA	"small"	"elongate"	"NA"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"EAsiaPacific"	"C"	1	2.55	1.1	0.8	0.368613538021202	1.1	0.8	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus gibbsianus"	0	0	1	1	0	0	"0"	0	1	8	0.8	"canopy"	NA	0.6	0.6	NA	1.6	NA	NA	1.2	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.651498365326692"	"0.348501634673308"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	1.6	1.2	1.20637157897848	1.6	1.2	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus glaucescens"	0	0	1	1	0	0	"0"	0	1	10	0.8	"canopy"	NA	1.1	1.1	NA	1.2	NA	NA	0.5	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	1.2	0.5	0.15707963267949	1.2	0.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus godefroyi"	0	0	1	1	0	0	"0"	0	1	30	1.5	"canopy"	NA	1	1	NA	1.6	NA	NA	1.2	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	1.6	1.2	1.20637157897848	1.6	1.2	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus gonospermus"	0	0	1	1	0	0	"0"	0	1	10	8	"canopy"	NA	0.45	NA	NA	2	NA	NA	1.54	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.570054854740773"	"0.429945145259227"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	2	1.54	2.48353371241785	2	1.54	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus gracilipes"	0	0	1	2	0	2	"0"	1	1	3	2.5	"understorey"	NA	2	NA	0.65	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"cryptic"	0	0	0	0	1	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.737416209732285"	"0.262583790267715"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"CE"	1	2.65	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	NA	NA	"YES"	NA	NA	"NO"	NA	"YES"	"YES"	"YES"	"NO"	"NO"
"Calamus gracilis"	0	0	1	1	0	0	"0"	0	1	30	2	"canopy"	NA	0.7	0.7	NA	2.7	NA	NA	2	NA	NA	"small"	"NA"	"conspicuous"	0	0	0	0	0	0	1	1	0	0	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	2.7	2	5.65486677646163	2.7	2	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	"YES"	"NO"	"YES"	"YES"	"NO"
"Calamus grandifolius"	0	0	1	1	0	0	"NA"	0	1	NA	NA	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"NA"	0	0	0	0	0	0	1	0	0	0	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus grandis"	0	0	1	1	0	0	"0"	0	1	20	5	"canopy"	7	3.66	3.1	2.1	2.5	NA	NA	2.5	NA	NA	"small"	"NA"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.644160411467976"	"0.355839588532024"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	5.76	2.5	2.5	8.18123086872342	2.5	2.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus griseus"	0	0	1	1	0	0	"0"	0	1	5	0.8	"canopy"	NA	0.3	0.3	NA	0.7	NA	NA	0.4	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	0.7	0.4	0.0586430628670095	0.7	0.4	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus guruba"	0	0	1	1	0	0	"0"	0	1	20	3	"canopy"	NA	1.3	1.3	NA	0.8	NA	NA	0.8	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.421078111103928"	"0.578921888896072"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"C"	1	NA	0.8	0.8	0.268082573106329	0.8	0.8	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus hallierianus"	0	0	1	1	0	0	"0"	0	1	20	3	"canopy"	NA	2	NA	NA	2.1	NA	NA	1.75	1.5	2	"small"	"globose"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.524384505664508"	"0.475615494335492"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	2.1	1.75	3.36739462556656	2.1	1.75	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus halmaherensis"	0	0	1	1	0	0	"NA"	0	1	NA	NA	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus harmandii"	0	0	1	0	1	0	"1"	0	1	1.1	4	"understorey"	NA	1	1	NA	1.2	NA	NA	0.9	NA	NA	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.706725677887269"	"0.293274322112731"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	1	NA	1.2	0.9	0.508938009881546	1.2	0.9	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus heatubunii"	0	0	1	NA	NA	NA	"NA"	NA	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.73289925117329"	"0.26710074882671"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus helferianus"	0	0	1	2	0	2	"0"	0	1	15	1.5	"canopy"	NA	0.8	0.8	NA	0.95	0.8	1.1	0.6	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.628401095134611"	"0.371598904865389"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"CE"	1	NA	0.95	0.6	0.179070781254618	0.95	0.6	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus henryanus"	0	0	1	1	0	0	"0"	0	1	20	1.8	"canopy"	NA	1.3	1.3	NA	1.5	NA	NA	1	NA	NA	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"LC"	"PREDICTED"	"LC"	"0.231512193231086"	"0.768487806768914"	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	1	NA	1.5	1	0.785398163397448	1.5	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus heteracanthus"	0	0	1	1	0	0	"1"	0	1	25	35	"canopy"	NA	3.3	3.25	NA	NA	NA	NA	NA	NA	NA	"NA"	"globose"	"NA"	0	0	0	0	1	0	1	0	0	0	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	"YES"	"YES"	"YES"	"NO"	"NO"
"Calamus heteroideus"	0	0	1	1	0	0	"NA"	0	1	NA	NA	"canopy"	NA	NA	NA	NA	0.94	NA	NA	0.75	NA	NA	"small"	"NA"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"NO_ML"	NA	NA	NA	"LC"	NA	NA	NA	"LC"	"LC"	"EAsiaPacific"	"C"	1	NA	0.94	0.75	0.2768528525976	0.94	0.75	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus hirsutus"	0	0	1	1	0	0	"0"	1	1	10	1.3	"canopy"	7	1.35	1.35	NA	1.5	NA	NA	1	NA	NA	"small"	"NA"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.240703597693712"	"0.759296402306288"	NA	NA	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	1	NA	1.5	1	0.785398163397448	1.5	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus holttumii"	0	0	1	1	0	0	"1"	0	1	15	1	"canopy"	NA	1	1	NA	1	NA	NA	0.95	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	1	0.95	0.472547894977465	1	0.95	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus hookerianus"	0	0	1	1	0	0	"0"	0	1	10	4	"canopy"	NA	1.3	1.3	NA	1	NA	NA	1	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	"LC"	NA	NA	NA	"LC"	"LC"	"EAsiaPacific"	"C"	1	NA	1	1	0.523598775598299	1	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus horridus"	0	0	1	1	0	0	"NA"	NA	1	NA	NA	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus hukaungensis"	0	0	1	1	0	0	"0"	0	1	4	1	"both"	NA	0.3	0.3	NA	NA	NA	NA	NA	NA	NA	"NA"	"globose"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.703216649339229"	"0.296783350660771"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus inermis"	0	0	1	1	0	0	"0"	0	1	30	6	"canopy"	NA	4	4	NA	2.4	NA	NA	2.5	NA	NA	"small"	"ovoid"	"cryptic"	0	0	0	0	0	0	1	1	0	0	"nonLC"	"nonLC"	"TEST"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	2.4	2.5	7.5398223686155	2.5	2.4	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	"YES"	"NO"	"YES"	"YES"	"NO"
"Calamus ingens"	0	0	1	0	1	0	"2"	1	1	1	30	"understorey"	NA	6	NA	1.9	4.5	NA	NA	2	NA	NA	"large"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.521980329916557"	"0.478019670083443"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	1	7.9	4.5	2	9.42477796076938	4.5	2	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus inops"	0	0	1	1	0	0	"NA"	0	1	NA	NA	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"NA"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus insignis"	0	0	1	1	0	0	"2"	0	1	40	2	"canopy"	NA	2.09	2	NA	1.1	1	1.2	0.7	NA	NA	"small"	"ovoid"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.542451211228016"	"0.457548788771984"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	1.1	0.7	0.282219740047483	1.1	0.7	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus interruptus"	0	0	1	1	0	0	"NA"	0	1	NA	NA	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.740914807738283"	"0.259085192261717"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus jacobsii"	0	0	1	NA	NA	NA	"NA"	NA	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.736404847889057"	"0.263595152110943"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus javensis"	0	0	1	1	0	0	"0"	0	1	10	1	"canopy"	NA	0.6	0.6	NA	1.35	1.2	1.5	1	0.8	1.2	"small"	"globose"	"cryptic"	0	0	0	0	0	0	1	1	0	0	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.127515502292168"	"0.872484497707832"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"C"	1	NA	1.35	1	0.706858347057703	1.35	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	NA	NA	NA	"YES"	"NO"	"YES"	"YES"	"NO"
"Calamus jenkinsianus"	0	0	1	1	0	0	"0"	0	1	25	6	"canopy"	20	3.2	3	NA	2	NA	NA	1.9	1.8	2	"small"	"globose"	"cryptic"	0	0	0	0	1	0	1	1	0	0	"NE"	"LC"	"PREDICTED"	"LC"	"0.128186692943188"	"0.871813307056812"	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	1	NA	2	1.9	3.78038315981972	2	1.9	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"
"Calamus jenningsianus"	0	0	1	1	0	0	"NA"	0	1	NA	NA	"canopy"	NA	NA	NA	NA	2	NA	NA	1.7	NA	NA	"small"	"NA"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	2	1.7	3.02640092295817	2	1.7	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus johndransfieldii"	0	0	1	1	0	0	"0"	NA	1	6	2.5	"canopy"	NA	3	3	NA	2.5	NA	NA	1	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"EAsiaPacific"	"C"	1	NA	2.5	1	1.30899693899575	2.5	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus johnsii"	0	0	1	NA	NA	NA	"NA"	NA	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.648373066315557"	"0.351626933684443"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus kampucheaensis"	0	0	1	NA	NA	NA	"NA"	NA	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.71498022863223"	"0.28501977136777"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus kandariensis"	0	0	1	1	0	0	"NA"	0	1	NA	NA	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"globose"	"NA"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Calamus karnatakensis"	0	0	1	1	0	0	"0"	0	1	35	3	"canopy"	NA	1.2	1.2	NA	0.8	NA	NA	0.8	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"EAsiaPacific"	"C"	1	NA	0.8	0.8	0.268082573106329	0.8	0.8	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Calamus karuensis"	0	0	1	1	0	0	"NA"	0	1	NA	NA	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.692105729566416"	"0.307894270433584"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	NA	NA	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
