"species"	"Americas"	"AfricaWAsia"	"EAsiaPacific"	"Climbing"	"Acaulescent"	"Erect"	"StemSolitary"	"StemArmed"	"LeavesArmed"	"MaxStemHeight_m"	"MaxStemDia_cm"	"UnderstoreyCanopy"	"MaxLeafNumber"	"Max_Blade_Length_m"	"Max_Rachis_Length_m"	"Max_Petiole_length_m"	"AverageFruitLength_cm"	"MinFruitLength_cm"	"MaxFruitLength_cm"	"AverageFruitWidth_cm"	"MinFruitWidth_cm"	"MaxFruitWidth_cm"	"FruitSizeCategorical"	"FruitShape"	"Conspicuousness"	"AnimalFood"	"EnvironmentalUses"	"Fuels"	"GeneSources"	"HumanFood"	"InvertebrateFood"	"Materials"	"Medicines"	"Poisons"	"SocialUses"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"
"Balaka tahitensis"	1	0	0	0	0	1	"1"	0	0	NA	NA	"NA"	NA	NA	NA	NA	2.05	1.5	2.5	0.65	1	1.2	"small"	"ovoid"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	NA	2.05	0.65	0.453501989515077	2.05	0.65	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Barcella odora"	1	0	0	0	1	0	"1"	0	0	0	NA	"understorey"	7	2	2	NA	3.5	NA	NA	2.5	NA	NA	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.404"	"0.596"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"A"	0	NA	3.5	2.5	11.4537232162128	3.5	2.5	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia deplanchei"	0	0	1	0	0	1	"2"	0	0	8	2.5	"canopy"	10	4	NA	NA	0.6	NA	NA	0.5	NA	NA	"small"	"ovoid"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	0.6	0.5	0.0785398163397448	0.6	0.5	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia eriostachys"	0	0	1	0	0	1	"NA"	0	0	NA	NA	"NA"	NA	NA	NA	NA	0.63	NA	NA	0.6	NA	NA	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	NA	0.63	0.6	0.118752202305694	0.63	0.6	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Basselinia favieri"	0	0	1	0	0	1	"1"	0	0	15	18	"canopy"	10	3.95	3.5	0.5	0.8	NA	NA	0.8	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	4.45	0.8	0.8	0.268082573106329	0.8	0.8	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia glabrata"	0	0	1	0	0	1	"1"	0	0	15	15	"canopy"	10	2.15	2	0.17	1.2	NA	NA	0.6	0.4	0.5	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TEST"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	2.32	1.2	0.6	0.226194671058465	1.2	0.6	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia gracilis"	0	0	1	0	0	1	"0"	0	0	8	10	"canopy"	11	1.23	1	0.25	0.4	NA	NA	0.4	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	1.48	0.4	0.4	0.0335103216382911	0.4	0.4	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia humboldtiana"	0	0	1	0	0	1	"1"	0	0	15	10	"canopy"	8	1.6	NA	0.08	1	NA	NA	0.8	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	1.68	1	0.8	0.335103216382911	1	0.8	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia iterata"	0	0	1	0	0	1	"1"	0	0	10	9	"canopy"	6	1.95	1.5	0.5	0.9	NA	NA	0.8	NA	NA	"small"	"elongate"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TEST"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	2.45	0.9	0.8	0.30159289474462	0.9	0.8	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia moorei"	0	0	1	0	0	1	"NA"	0	0	NA	NA	"NA"	NA	NA	NA	NA	1.3	NA	NA	1.3	NA	NA	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	1.3	1.3	1.15034650998946	1.3	1.3	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Basselinia pancheri"	0	0	1	0	0	1	"1"	0	0	15	10	"canopy"	9	1.55	1.3	0.28	0.7	0.6	0.8	0.75	0.6	0.9	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	1.83	0.7	0.75	0.192422550032375	0.75	0.7	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia porphyrea"	0	0	1	0	0	1	"NA"	0	0	NA	NA	"NA"	NA	NA	NA	NA	1	NA	NA	1	NA	NA	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	1	1	0.523598775598299	1	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Basselinia sordida"	0	0	1	0	0	1	"1"	0	0	12	15	"canopy"	10	2.18	2	0.2	0.7	NA	NA	0.95	0.9	1	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	2.38	0.7	0.95	0.243735230041008	0.95	0.7	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia tomentosa"	0	0	1	0	0	1	"1"	0	0	20	25	"canopy"	10	1	0.7	0.33	0.75	0.7	0.8	0.55	0.5	0.6	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	1.33	0.75	0.55	0.118791472213864	0.75	0.55	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia velutina"	0	0	1	0	0	1	"1"	0	0	15	22	"canopy"	12	3.35	3	0.4	1.1	NA	NA	0.9	NA	NA	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	3.75	1.1	0.9	0.466526509058084	1.1	0.9	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Basselinia vestita"	0	0	1	0	0	1	"0"	0	0	5	3	"understorey"	6	0.55	0.55	0.22	0.7	NA	NA	0.7	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	0.77	0.7	0.7	0.179594380030216	0.7	0.7	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"YES"	"NO"	NA	NA	NA	NA	NA
"Beccariophoenix alfredii"	0	1	0	0	0	1	"1"	0	0	15	30	"canopy"	36	5.2	5.2	NA	2.4	NA	NA	1.6	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	0	NA	2.4	1.6	3.21699087727595	2.4	1.6	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Beccariophoenix fenestralis"	0	1	0	NA	NA	NA	"NA"	NA	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.96"	"0.04"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Beccariophoenix madagascariensis"	0	1	0	0	0	1	"1"	0	0	12	35	"canopy"	30	5	3.7	1.35	3.5	NA	NA	2.5	NA	NA	"small"	"globose"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	0	6.35	3.5	2.5	11.4537232162128	3.5	2.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Bentinckia condapanna"	0	0	1	0	0	1	"1"	0	0	10	15	"canopy"	NA	3	2	NA	1.5	NA	NA	1.5	NA	NA	"small"	"globose"	"cryptic"	0	0	0	0	0	0	0	1	0	0	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	1.5	1.5	1.76714586764426	1.5	1.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	"YES"	"NO"	"NO"	"YES"	"NO"
"Bentinckia nicobarica"	0	0	1	0	0	1	"1"	0	0	20	25	"canopy"	NA	2	NA	NA	1.5	NA	NA	1	NA	NA	"small"	"ovoid"	"conspicuous"	0	0	0	0	0	0	1	0	0	0	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	1.5	1	0.785398163397448	1.5	1	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Bismarckia nobilis"	0	1	0	0	0	1	"1"	0	0	25	45	"canopy"	30	4.5	1.5	2.75	4.4	4	4.8	3.025	3	3.05	"large"	"globose"	"cryptic"	0	1	0	0	0	0	1	0	0	0	"LC"	"LC"	"TEST"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"AfricaWAsia"	"E"	0	7.25	4.4	3.025	21.0815266022204	4.4	3.025	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Borassodendron borneense"	0	0	1	0	0	1	"1"	0	0	NA	35	"NA"	NA	3	NA	2.1	9	NA	NA	10	NA	NA	"large"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"LC"	"0.468"	"0.532"	NA	NA	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	5.1	9	10	424.115008234622	10	9	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Borassodendron machadonis"	0	0	1	0	0	1	"1"	0	0	20	30	"canopy"	45	4	1	2.75	12	NA	NA	10	NA	NA	"large"	"ovoid"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.552"	"0.448"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"E"	0	6.75	12	10	628.318530717959	12	10	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Borassus aethiopum"	0	1	0	0	0	1	"1"	0	1	30	100	"canopy"	40	2.8	4	2.1	12	NA	NA	14	NA	NA	"large"	"ovoid"	"cryptic"	1	1	1	1	1	0	1	1	0	1	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"AfricaWAsia"	"E"	1	4.9	12	14	1055.57513160617	14	12	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"
"Borassus akeassii"	0	1	0	0	0	1	"1"	0	0	15	80	"canopy"	22	3.22	1.6	1.72	15	NA	NA	12	NA	NA	"large"	"NA"	"cryptic"	0	0	0	0	0	0	0	1	0	0	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"AfricaWAsia"	"E"	0	4.94	15	12	1130.97335529233	15	12	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"NO"
"Borassus flabellifer"	0	1	1	0	0	1	"1"	0	0	25	75	"canopy"	70	3	1.2	1.9	20	NA	NA	20	NA	NA	"large"	"globose"	"cryptic"	0	1	0	1	1	0	1	1	0	1	"NE"	"NE"	"PREDICTED"	"LC"	"0.042"	"0.958"	NA	NA	"LC"	"LC"	"LC"	"LC"	"AfricaWAsia"	"E"	0	4.9	20	20	4188.79020478639	20	20	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"
"Borassus heineanus"	0	0	1	0	0	1	"1"	0	0	25	60	"canopy"	59	2.4	3	2.5	13.5	12	15	9	8	10	"large"	"NA"	"cryptic"	1	0	0	0	1	0	0	0	0	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.446"	"0.554"	NA	NA	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	4.9	13.5	9	572.55526111674	13.5	9	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"NO"
"Borassus madagascariensis"	0	1	0	0	0	1	"1"	0	1	25	80	"canopy"	30	2.24	NA	2.5	30	25	35	12	7	18.5	"large"	"globose"	"cryptic"	0	1	0	0	1	0	1	1	0	1	"nonLC"	"nonLC"	"TEST"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	1	4.74	30	12	2261.94671058465	30	12	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"
"Brahea aculeata"	1	0	0	0	0	1	"1"	0	0	9	20	"canopy"	10	1.21	0.56	0.71	2.25	NA	NA	2.25	2	2.5	"small"	"NA"	"cryptic"	0	1	0	0	0	0	0	0	0	0	"nonLC"	"nonLC"	"TEST"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	0	1.92	2.25	2.25	5.96411730329937	2.25	2.25	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"
"Brahea armata"	1	0	0	0	0	1	"1"	0	0	15	45	"canopy"	30	1.5	2	1.55	2.1	1.8	2.4	1.6	NA	NA	"small"	"ovoid"	"cryptic"	0	1	0	0	1	0	1	1	0	0	"LC"	"LC"	"TEST"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	3.05	2.1	1.6	2.81486701761645	2.1	1.6	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"
"Brahea brandegeei"	1	0	0	0	0	1	"1"	0	0	18	30	"canopy"	70	1	1	NA	1.85	1.5	2.2	1.75	1.5	2	"small"	"NA"	"cryptic"	0	1	0	0	1	0	1	0	0	0	"LC"	"LC"	"TEST"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	NA	1.85	1.75	2.96651431299911	1.85	1.75	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"NO"
"Brahea calcarea"	1	0	0	0	0	1	"1"	0	0	12	40	"canopy"	20	1	0.95	1	1.7	NA	NA	1	NA	NA	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	2	1.7	1	0.890117918517108	1.7	1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Brahea decumbens"	1	0	0	0	0	1	"0"	0	0	2.5	20	"understorey"	8	1.5	1	0.55	1.5	NA	NA	NA	NA	NA	"small"	"globose"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	2.05	1.5	NA	NA	1.5	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Brahea dulcis"	1	0	0	0	0	1	"2"	0	1	7.5	20	"canopy"	15	1	1	NA	1.3	NA	NA	1.25	0.9	1.6	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	1.3	1.25	1.06356001293404	1.3	1.25	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Brahea edulis"	1	0	0	0	0	1	"1"	0	1	13	40	"canopy"	20	NA	NA	NA	3	NA	NA	3	2.5	3.5	"small"	"ovoid"	"cryptic"	0	1	0	0	1	0	1	1	0	0	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	3	3	14.1371669411541	3	3	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	"YES"	"YES"	"YES"	"YES"	"NO"
"Brahea moorei"	1	0	0	0	1	0	"1"	0	0	0.3	NA	"understorey"	7	1.5	0.7	0.92	0.65	NA	NA	0.65	0.6	0.7	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"A"	0	2.42	0.65	0.65	0.143793313748683	0.65	0.65	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Brahea pimo"	1	0	0	0	0	1	"1"	0	1	5	20	"understorey"	15	NA	NA	NA	1	NA	NA	1.25	1	1.5	"small"	"globose"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.286"	"0.714"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	1	NA	1	1.25	0.654498469497873	1.25	1	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Brahea salvadorensis"	1	0	0	0	0	1	"1"	0	NA	6	NA	"canopy"	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Americas"	"E"	NA	NA	1.2	NA	NA	1.2	NA	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Brahea sarukhanii"	1	0	0	0	0	1	"1"	0	1	5	15	"understorey"	18	1.5	1.6	0.85	1.9	1.8	2	1.4	1.2	1.6	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.724"	"0.276"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	2.35	1.9	1.4	1.94988184032806	1.9	1.4	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Brassiophoenix drymophloeoides"	0	0	1	0	0	1	"1"	0	0	10.2	7	"canopy"	12	3	2.9	0.12	3.2	NA	NA	1.5	NA	NA	"small"	"ovoid"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.752"	"0.248"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	3.12	3.2	1.5	3.76991118430775	3.2	1.5	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Brassiophoenix schumannii"	0	0	1	0	0	1	"1"	0	0	10	5	"canopy"	9	3.22	3	0.24	3.1	2.61	3.5	1.8	1.7	1.9	"small"	"globose"	"conspicuous"	0	0	0	0	0	0	1	0	0	1	"NE"	"NE"	"PREDICTED"	"LC"	"0.232"	"0.768"	NA	NA	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	3.46	3.1	1.8	5.25902610210931	3.1	1.8	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"YES"
"Burretiokentia dumasii"	0	0	1	0	0	1	"1"	0	0	15	13	"canopy"	12	2.85	2.5	0.4	1.2	1.1	1.3	1.1	NA	11	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TEST"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	3.25	1.2	1.1	0.76026542216873	1.2	1.1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Burretiokentia grandiflora"	0	0	1	0	0	1	"1"	0	0	12	14	"canopy"	12	3.05	2.8	0.75	2.2	NA	NA	1.7	NA	NA	"small"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TEST"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	3.8	2.2	1.7	3.32904101525398	2.2	1.7	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Burretiokentia hapala"	0	0	1	0	0	1	"1"	0	0	15	17	"canopy"	10	2.45	2.4	NA	1.6	NA	NA	0.9	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TEST"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	1.6	0.9	0.678584013175395	1.6	0.9	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
