"Region"	"Species"
"CLM"	"Acoelorrhaphe wrightii, Acrocomia aculeata, Aiphanes acaulis, Aiphanes argos, Aiphanes buenaventurae, Aiphanes concinna, Aiphanes deltoidea, Aiphanes duquei, Aiphanes erinacea, Aiphanes gelatinosa, Aiphanes graminifolia, Aiphanes hirsuta, Aiphanes horrida, Aiphanes killipii, Aiphanes leiostachys, Aiphanes lindeniana, Aiphanes linearis, Aiphanes macroloba, Aiphanes multiplex, Aiphanes parvifolia, Aiphanes pilaris, Aiphanes simplex, Aiphanes tricuspidata, Aiphanes ulei, Ammandra decasperma, Asterogyne martiana, Astrocaryum acaule, Astrocaryum aculeatum, Astrocaryum alatum, Astrocaryum chambira, Astrocaryum ciliatum, Astrocaryum ferrugineum, Astrocaryum jauari, Astrocaryum macrocalyx, Astrocaryum malybo, Astrocaryum standleyanum, Astrocaryum triandrum, Astrocaryum tucuma, Astrocaryum urostachys, Attalea allenii, Attalea amygdalina, Attalea butyracea, Attalea cohune, Attalea colenda, Attalea cuatrecasasiana, Attalea fairchildensis, Attalea iguadummat, Attalea insignis, Attalea luetzelburgii, Attalea magdalenica, Attalea maracaibensis, Attalea maripa, Attalea microcarpa, Attalea nucifera, Attalea phalerata, Attalea plowmanii, Attalea racemosa, Attalea septuagenata, Bactris acanthocarpa, Bactris balanophora, Bactris barronis, Bactris bidentula, Bactris bifida, Bactris brongniartii, Bactris campestris, Bactris charnleyae, Bactris chocoensis, Bactris coloniata, Bactris coloradonis, Bactris concinna, Bactris corossilla, Bactris elegans, Bactris fissifrons, Bactris gasipaes, Bactris glandulosa, Bactris guineensis, Bactris halmoorei, Bactris hirta, Bactris killipii, Bactris macroacantha, Bactris major, Bactris manriquei, Bactris maraja, Bactris martiana, Bactris obovata, Bactris pilosa, Bactris riparia, Bactris rostrata, Bactris schultesii, Bactris setulosa, Bactris simplicifrons, Bactris sphaerocarpa, Calyptrogyne baudensis, Calyptrogyne costatifrons, Ceroxylon alpinum, Ceroxylon ceriferum, Ceroxylon parvifrons, Ceroxylon quindiuense, Ceroxylon sasaimae, Ceroxylon ventricosum, Ceroxylon vogelianum, Chamaedorea allenii, Chamaedorea christinae, Chamaedorea deneversiana, Chamaedorea linearis, Chamaedorea pauciflora, Chamaedorea pinnatifrons, Chamaedorea ponderosa, Chamaedorea pumila, Chamaedorea pygmaea, Chamaedorea ricardoi, Chamaedorea subjectifolia, Chamaedorea tepejilote, Chamaedorea warscewiczii, Chamaedorea woodsoniana, Chelyocarpus dianeurus, Chelyocarpus repens, Chelyocarpus ulei, Coccothrinax argentata, Cocos nucifera, Copernicia tectorum, Cryosophila kalbreyeri, Cryosophila macrocarpa, Desmoncus cirrhifer, Desmoncus giganteus, Desmoncus horridus, Desmoncus interjectus, Desmoncus mitis, Desmoncus myriacanthos, Desmoncus parvulus, Desmoncus polyacanthos, Desmoncus pumilus, Desmoncus setosus, Desmoncus vacivus, Dictyocaryum lamarckianum, Dictyocaryum ptarianum, Elaeis oleifera, Euterpe catinga, Euterpe oleracea, Euterpe precatoria, Geonoma baculifera, Geonoma bernalii, Geonoma brongniartii, Geonoma calyptrogynoidea, Geonoma camana, Geonoma chlamydostachys, Geonoma chococola, Geonoma concinna, Geonoma cuneata, Geonoma deversa, Geonoma dindoensis, Geonoma divisa, Geonoma euspatha, Geonoma fosteri, Geonoma frontinensis, Geonoma galeanoae, Geonoma gentryi, Geonoma interrupta, Geonoma lanata, Geonoma laxiflora, Geonoma lehmannii, Geonoma leptospadix, Geonoma longepedunculata, Geonoma macrostachys, Geonoma maxima, Geonoma multisecta, Geonoma oligoclona, Geonoma orbignyana, Geonoma paradoxa, Geonoma pinnatifrons, Geonoma poeppigiana, Geonoma poiteauana, Geonoma santanderensis, Geonoma stricta, Geonoma triandra, Geonoma triglochin, Geonoma undata, Hyospathe elegans, Hyospathe frontinensis, Hyospathe pittieri, Hyospathe wendlandiana, Iriartea deltoidea, Iriartella setigera, Iriartella stenocarpa, Itaya amicorum, Leopoldinia piassaba, Leopoldinia pulchra, Lepidocaryum tenue, Manicaria martiana, Manicaria saccifera, Mauritia carana, Mauritia flexuosa, Mauritiella aculeata, Mauritiella armata, Mauritiella macroclada, Mauritiella pumila, Oenocarpus bacaba, Oenocarpus balickii, Oenocarpus bataua, Oenocarpus circumtextus, Oenocarpus makeru, Oenocarpus mapora, Oenocarpus minor, Oenocarpus simplex, Parajubaea cocoides, Pholidostachys dactyloides, Pholidostachys occidentalis, Pholidostachys panamensis, Pholidostachys pulchra, Pholidostachys sanluisensis, Pholidostachys synanthera, Phytelephas macrocarpa, Phytelephas tenuicaulis, Phytelephas tumacana, Prestoea acuminata, Prestoea carderi, Prestoea decurrens, Prestoea ensiformis, Prestoea longepetiolata, Prestoea pubens, Prestoea schultzeana, Prestoea simplicifolia, Raphia taedigera, Reinhardtia gracilis, Reinhardtia koschnyana, Reinhardtia simplex, Roystonea oleracea, Sabal mauritiiformis, Sabinaria magnifica, Socratea exorrhiza, Socratea hecatonandra, Socratea rostrata, Syagrus orinocensis, Syagrus sancona, Syagrus smithii, Synechanthus warscewiczianus, Welfia regia, Wettinia aequalis, Wettinia anomala, Wettinia augusta, Wettinia castanea, Wettinia disticha, Wettinia drudei, Wettinia fascicularis, Wettinia hirsuta, Wettinia kalbreyeri, Wettinia lanata, Wettinia maynensis, Wettinia microcarpa, Wettinia oxycarpa, Wettinia praemorsa, Wettinia quinaria, Wettinia radiata, Wettinia verruculosa"
"CLN"	"Cocos nucifera"
"CLS"	"NA"
"CMN"	"Borassus aethiopum, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha barendii, Eremospatha cuspidata, Eremospatha haullevilleana, Eremospatha hookeri, Eremospatha laurentii, Eremospatha macrocarpa, Eremospatha quinquecostulata, Eremospatha tessmanniana, Eremospatha wendlandiana, Hyphaene thebaica, Laccosperma acutiflorum, Laccosperma korupense, Laccosperma laeve, Laccosperma opacum, Laccosperma robustum, Laccosperma secundiflorum, Nypa fruticans, Oncocalamus macrospathus, Oncocalamus mannii, Oncocalamus tuleyi, Phoenix reclinata, Podococcus barteri, Raphia africana, Raphia farinifera, Raphia hookeri, Raphia longiflora, Raphia mambillensis, Raphia monbuttorum, Raphia palma-pinus, Raphia regalis, Raphia sudanica, Raphia taedigera, Raphia vinifera, Sclerosperma mannii"
"CNT"	"NA"
"CNY"	"Phoenix canariensis, Phoenix dactylifera, Washingtonia robusta"
"COL"	"NA"
"COM"	"Borassus aethiopum, Caryota mitis, Dypsis cabadae, Dypsis humblotiana, Dypsis lanceolata, Elaeis guineensis, Phoenix reclinata, Ravenea hildebrandtii, Ravenea moorei"
"CON"	"Borassus aethiopum, Calamus deerratus, Elaeis guineensis, Eremospatha cabrae, Eremospatha cuspidata, Eremospatha haullevilleana, Eremospatha hookeri, Eremospatha laurentii, Eremospatha tessmanniana, Eremospatha wendlandiana, Hyphaene guineensis, Hyphaene thebaica, Laccosperma korupense, Laccosperma laeve, Laccosperma opacum, Laccosperma secundiflorum, Oncocalamus macrospathus, Oncocalamus mannii, Phoenix reclinata, Podococcus acaulis, Podococcus barteri, Raphia farinifera, Raphia hookeri, Raphia palma-pinus, Raphia sudanica, Sclerosperma mannii, Sclerosperma profizianum"
"COO"	"Adonidia merrillii, Cocos nucifera, Pritchardia mitiaroana, Pritchardia pacifica"
"COR"	"Chamaerops humilis"
"COS"	"Acoelorrhaphe wrightii, Acrocomia aculeata, Aiphanes hirsuta, Asterogyne martiana, Astrocaryum alatum, Astrocaryum confertum, Astrocaryum standleyanum, Attalea rostrata, Bactris ana-juliae, Bactris caudata, Bactris coloradonis, Bactris dianeura, Bactris gasipaes, Bactris glandulosa, Bactris gracilior, Bactris grayumii, Bactris guineensis, Bactris herrerana, Bactris longiseta, Bactris major, Bactris maraja, Bactris militaris, Bactris obovata, Bactris polystachya, Calyptrogyne condensata, Calyptrogyne ghiesbreghtiana, Calyptrogyne herrerae, Calyptrogyne osensis, Calyptrogyne trichostachys, Chamaedorea amabilis, Chamaedorea anemophila, Chamaedorea binderi, Chamaedorea brachyclada, Chamaedorea costaricana, Chamaedorea crucensis, Chamaedorea dammeriana, Chamaedorea deckeriana, Chamaedorea deneversiana, Chamaedorea geonomiformis, Chamaedorea graminifolia, Chamaedorea hodelii, Chamaedorea incrustata, Chamaedorea lucidifrons, Chamaedorea macrospadix, Chamaedorea matae, Chamaedorea palmeriana, Chamaedorea parvifolia, Chamaedorea pedunculata, Chamaedorea pinnatifrons, Chamaedorea piscifolia, Chamaedorea pittieri, Chamaedorea pumila, Chamaedorea pygmaea, Chamaedorea robertii, Chamaedorea rosibeliae, Chamaedorea rossteniorum, Chamaedorea scheryi, Chamaedorea stenocarpa, Chamaedorea stricta, Chamaedorea tepejilote, Chamaedorea undulatifolia, Chamaedorea warscewiczii, Chamaedorea woodsoniana, Chamaedorea zamorae, Cocos nucifera, Colpothrinax aphanopetala, Cryosophila cookii, Cryosophila grayumii, Cryosophila guagara, Cryosophila warscewiczii, Desmoncus costaricensis, Desmoncus moorei, Desmoncus osensis, Desmoncus stans, Elaeis guineensis, Elaeis oleifera, Euterpe precatoria, Geonoma brenesii, Geonoma congesta, Geonoma cuneata, Geonoma deversa, Geonoma epetiolata, Geonoma ferruginea, Geonoma interrupta, Geonoma longivaginata, Geonoma monospatha, Geonoma orbignyana, Geonoma pinnatifrons, Geonoma scoparia, Geonoma talamancana, Geonoma undata, Hyospathe elegans, Iriartea deltoidea, Manicaria saccifera, Neonicholsonia watsonii, Oenocarpus mapora, Pholidostachys pulchra, Prestoea acuminata, Prestoea decurrens, Prestoea ensiformis, Prestoea longepetiolata, Prestoea schultzeana, Raphia taedigera, Reinhardtia gracilis, Reinhardtia koschnyana, Reinhardtia latisecta, Reinhardtia simplex, Sabal mauritiiformis, Socratea exorrhiza, Synechanthus fibrosus, Synechanthus warscewiczianus, Welfia regia"
"CPI"	"Cocos nucifera, Euterpe precatoria"
"CPP"	"Jubaeopsis caffra, Phoenix reclinata, Raphia australis"
"CPV"	"Hyphaene petersiana, Phoenix reclinata"
"CRL"	"Areca catechu, Clinostigma carolinense, Clinostigma ponapense, Cocos nucifera, Elaeis guineensis, Heterospathe elata, Hydriastele palauensis, Metroxylon amicarum, Nypa fruticans, Pinanga insignis, Ponapea hosinoi, Ponapea ledermanniana, Ponapea palauensis"
"CRZ"	"NA"
"CTA"	"NA"
"CTM"	"Rhopalostylis sapida"
"CUB"	"Acoelorrhaphe wrightii, Acrocomia aculeata, Acrocomia crispa, Bactris cubensis, Calyptronoma occidentalis, Calyptronoma plumeriana, Caryota urens, Coccothrinax acunana, Coccothrinax alexandri, Coccothrinax baracoensis, Coccothrinax bermudezii, Coccothrinax borhidiana, Coccothrinax camagueyana, Coccothrinax clarensis, Coccothrinax crinita, Coccothrinax cupularis, Coccothrinax elegans, Coccothrinax fagildei, Coccothrinax fragrans, Coccothrinax garciana, Coccothrinax guantanamensis, Coccothrinax gundlachii, Coccothrinax hioramii, Coccothrinax leonis, Coccothrinax litoralis, Coccothrinax macroglossa, Coccothrinax microphylla, Coccothrinax miraguama, Coccothrinax moaensis, Coccothrinax munizii, Coccothrinax muricata, Coccothrinax nipensis, Coccothrinax orientalis, Coccothrinax pauciramosa, Coccothrinax pseudorigida, Coccothrinax pumila, Coccothrinax rigida, Coccothrinax salvatoris, Coccothrinax saxicola, Coccothrinax torrida, Coccothrinax trinitensis, Coccothrinax victorinii, Coccothrinax yunquensis, Coccothrinax yuraguana, Cocos nucifera, Colpothrinax wrightii, Copernicia baileyana, Copernicia brittonorum, Copernicia cowellii, Copernicia curbeloi, Copernicia curtissii, Copernicia fallaensis, Copernicia gigas, Copernicia glabrescens, Copernicia hospita, Copernicia humicola, Copernicia longiglossa, Copernicia macroglossa, Copernicia molinetii, Copernicia oxycalyx, Copernicia rigida, Copernicia roigii, Copernicia yarey, Gaussia princeps, Gaussia spirituana, Hemithrinax compacta, Hemithrinax ekmaniana, Hemithrinax rivularis, Leucothrinax morrisii, Phoenix rupicola, Prestoea acuminata, Pseudophoenix sargentii, Roystonea lenis, Roystonea maisiana, Roystonea regia, Roystonea violacea, Sabal domingensis, Sabal maritima, Sabal palmetto, Sabal yapa, Thrinax radiata"
"CVI"	"Phoenix atlantica, Phoenix dactylifera"
"CYP"	"Washingtonia filifera"
"CZE"	"NA"
"DEL"	"NA"
"DEN"	"NA"
"DJI"	"Hyphaene thebaica, Livistona carinensis, Phoenix caespitosa, Phoenix reclinata"
"DOM"	"Acrocomia aculeata, Adonidia merrillii, Aiphanes acanthophylla, Areca catechu, Bactris plumeriana, Calyptronoma plumeriana, Calyptronoma rivalis, Caryota mitis, Caryota urens, Chamaerops humilis, Coccothrinax argentea, Coccothrinax boschiana, Coccothrinax ekmanii, Coccothrinax fragrans, Coccothrinax gracilis, Coccothrinax jimenezii, Coccothrinax montana, Coccothrinax scoparia, Coccothrinax spissa, Cocos nucifera, Copernicia berteroana, Dypsis lutescens, Elaeis guineensis, Gaussia attenuata, Howea forsteriana, Livistona chinensis, Manicaria saccifera, Phoenix dactylifera, Prestoea acuminata, Pseudophoenix ekmanii, Pseudophoenix sargentii, Pseudophoenix vinifera, Ptychosperma elegans, Ptychosperma macarthurii, Reinhardtia paiewonskiana, Roystonea borinquena, Roystonea regia, Sabal causiarum, Sabal domingensis, Thrinax radiata, Zombia antillarum"
"DSV"	"NA"
"EAI"	"Phoenix dactylifera, Phoenix theophrasti, Washingtonia filifera"
"EAS"	"Cocos nucifera"
"ECU"	"Aiphanes bicornis, Aiphanes chiribogensis, Aiphanes eggersii, Aiphanes erinacea, Aiphanes gelatinosa, Aiphanes grandis, Aiphanes hirsuta, Aiphanes macroloba, Aiphanes tricuspidata, Aiphanes ulei, Aiphanes verrucosa, Aiphanes weberbaueri, Ammandra decasperma, Aphandra natalia, Asterogyne martiana, Astrocaryum chambira, Astrocaryum jauari, Astrocaryum standleyanum, Astrocaryum urostachys, Attalea butyracea, Attalea colenda, Attalea insignis, Attalea maripa, Bactris acanthocarpa, Bactris coloniata, Bactris coloradonis, Bactris concinna, Bactris corossilla, Bactris fissifrons, Bactris gasipaes, Bactris halmoorei, Bactris major, Bactris maraja, Bactris martiana, Bactris obovata, Bactris pilosa, Bactris riparia, Bactris schultesii, Bactris setiflora, Bactris setulosa, Bactris simplicifrons, Ceroxylon amazonicum, Ceroxylon echinulatum, Ceroxylon parvifrons, Ceroxylon parvum, Ceroxylon ventricosum, Ceroxylon vogelianum, Chamaedorea deneversiana, Chamaedorea linearis, Chamaedorea pauciflora, Chamaedorea pinnatifrons, Chelyocarpus ulei, Desmoncus cirrhifer, Desmoncus giganteus, Desmoncus horridus, Desmoncus mitis, Desmoncus polyacanthos, Dictyocaryum lamarckianum, Elaeis oleifera, Euterpe oleracea, Euterpe precatoria, Geonoma brongniartii, Geonoma calyptrogynoidea, Geonoma camana, Geonoma chococola, Geonoma cuneata, Geonoma deversa, Geonoma euspatha, Geonoma fosteri, Geonoma hollinensis, Geonoma interrupta, Geonoma lanata, Geonoma laxiflora, Geonoma lehmannii, Geonoma leptospadix, Geonoma longepedunculata, Geonoma macrostachys, Geonoma maxima, Geonoma multisecta, Geonoma orbignyana, Geonoma paradoxa, Geonoma pinnatifrons, Geonoma poeppigiana, Geonoma stricta, Geonoma tenuissima, Geonoma triandra, Geonoma triglochin, Geonoma trigona, Geonoma undata, Geonoma venosa, Hyospathe elegans, Hyospathe macrorhachis, Iriartea deltoidea, Itaya amicorum, Manicaria saccifera, Mauritia flexuosa, Mauritiella armata, Mauritiella macroclada, Oenocarpus bataua, Oenocarpus mapora, Parajubaea cocoides, Pholidostachys dactyloides, Pholidostachys occidentalis, Pholidostachys synanthera, Phytelephas aequatorialis, Phytelephas tenuicaulis, Prestoea acuminata, Prestoea carderi, Prestoea decurrens, Prestoea ensiformis, Prestoea schultzeana, Socratea exorrhiza, Socratea hecatonandra, Socratea rostrata, Syagrus sancona, Syagrus smithii, Synechanthus warscewiczianus, Welfia regia, Wendlandiella gracilis, Wettinia aequalis, Wettinia aequatorialis, Wettinia anomala, Wettinia drudei, Wettinia fascicularis, Wettinia kalbreyeri, Wettinia maynensis, Wettinia minima, Wettinia oxycarpa, Wettinia quinaria, Wettinia verruculosa"
"EGY"	"Hyphaene thebaica, Medemia argun, Phoenix dactylifera"
"EHM"	"Areca catechu, Arenga micrantha, Arenga westerhoutii, Calamus acanthospathus, Calamus erectus, Calamus flagellum, Calamus floribundus, Calamus gracilis, Calamus guruba, Calamus inermis, Calamus jenkinsianus, Calamus latifolius, Calamus leptospadix, Calamus tenuis, Calamus viminalis, Caryota maxima, Caryota obtusa, Licuala peltata, Livistona jenkinsiana, Phoenix loureiroi, Phoenix rupicola, Pinanga gracilis, Plectocomia assamica, Plectocomia himalayana, Salacca secunda, Trachycarpus latisectus, Trachycarpus martianus, Wallichia disticha, Wallichia nana, Wallichia oblongifolia, Wallichia triandra"
"ELS"	"Acrocomia aculeata, Astrocaryum mexicanum, Attalea cohune, Bactris gasipaes, Bactris major, Brahea dulcis, Brahea salvadorensis, Chamaedorea costaricana, Chamaedorea nubium, Chamaedorea pinnatifrons, Chamaedorea tepejilote, Cocos nucifera, Desmoncus chinantlensis, Dypsis lutescens, Elaeis guineensis, Phoenix dactylifera, Roystonea regia, Sabal mexicana"
"EQG"	"Calamus deerratus, Eremospatha cuspidata, Eremospatha hookeri, Eremospatha laurentii, Eremospatha macrocarpa, Eremospatha tessmanniana, Eremospatha wendlandiana, Laccosperma acutiflorum, Laccosperma opacum, Laccosperma robustum, Oncocalamus macrospathus, Oncocalamus mannii, Podococcus barteri, Raphia hookeri, Raphia longiflora, Sclerosperma mannii"
"ERI"	"Hyphaene thebaica, Phoenix reclinata"
"ETH"	"Borassus aethiopum, Elaeis guineensis, Hyphaene compressa, Hyphaene coriacea, Hyphaene thebaica, Phoenix reclinata"
"FAL"	"NA"
"FIJ"	"Areca catechu, Balaka diffusa, Balaka longirostris, Balaka macrocarpa, Balaka microcarpa, Balaka pauciflora, Balaka seemannii, Balaka streptostachys, Calamus vitiensis, Clinostigma exorrhizum, Cocos nucifera, Cyphosperma naboutinense, Cyphosperma tanga, Cyphosperma trichospadix, Elaeis guineensis, Heterospathe longipes, Heterospathe phillipsii, Hydriastele boumae, Hydriastele vitiensis, Metroxylon vitiense, Metroxylon warburgii, Neoveitchia storckii, Phoenix dactylifera, Physokentia petiolata, Physokentia thurstonii, Pinanga coronata, Pritchardia pacifica, Pritchardia thurstonii, Ptychosperma macarthurii, Veitchia filifera, Veitchia joannis, Veitchia simulans, Veitchia vitiensis"
"FIN"	"NA"
"FLA"	"Acoelorrhaphe wrightii, Chamaedorea seifrizii, Coccothrinax argentata, Cocos nucifera, Leucothrinax morrisii, Livistona chinensis, Phoenix reclinata, Pseudophoenix sargentii, Ptychosperma elegans, Rhapidophyllum hystrix, Roystonea regia, Sabal etonia, Sabal minor, Sabal palmetto, Serenoa repens, Syagrus romanzoffiana, Thrinax radiata, Washingtonia filifera, Washingtonia robusta"
"FOR"	"NA"
"FRA"	"Chamaerops humilis"
"FRG"	"Acrocomia aculeata, Asterogyne guianensis, Astrocaryum aculeatum, Astrocaryum jauari, Astrocaryum minus, Astrocaryum murumuru, Astrocaryum paramaca, Astrocaryum rodriguesii, Astrocaryum sciophilum, Astrocaryum tucuma, Astrocaryum vulgare, Attalea attaleoides, Attalea camopiensis, Attalea degranvillei, Attalea guianensis, Attalea maripa, Attalea maripensis, Attalea microcarpa, Bactris acanthocarpa, Bactris acanthocarpoides, Bactris aubletiana, Bactris brongniartii, Bactris campestris, Bactris constanciae, Bactris cuspidata, Bactris elegans, Bactris gasipaes, Bactris gastoniana, Bactris hirta, Bactris major, Bactris maraja, Bactris nancibaensis, Bactris oligocarpa, Bactris pliniana, Bactris rhaphidacantha, Bactris simplicifrons, Bactris tomentosa, Desmoncus horridus, Desmoncus parvulus, Desmoncus polyacanthos, Elaeis oleifera, Euterpe oleracea, Euterpe precatoria, Geonoma baculifera, Geonoma deversa, Geonoma euspatha, Geonoma leptospadix, Geonoma maxima, Geonoma oldemanii, Geonoma poiteauana, Geonoma stricta, Geonoma umbraculiformis, Geonoma undata, Hyospathe elegans, Manicaria saccifera, Mauritia flexuosa, Oenocarpus bacaba, Oenocarpus bataua, Socratea exorrhiza, Syagrus inajai, Syagrus stratincola"
"GAB"	"Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha cabrae, Eremospatha cuspidata, Eremospatha haullevilleana, Eremospatha hookeri, Eremospatha laurentii, Eremospatha wendlandiana, Hyphaene guineensis, Laccosperma acutiflorum, Laccosperma cristalensis, Laccosperma laeve, Laccosperma opacum, Laccosperma robustum, Laccosperma secundiflorum, Oncocalamus macrospathus, Oncocalamus mannii, Phoenix reclinata, Podococcus acaulis, Podococcus barteri, Raphia hookeri, Raphia longiflora, Raphia regalis, Raphia textilis, Raphia vinifera, Sclerosperma mannii, Sclerosperma walkeri"
"GAL"	"NA"
"GAM"	"Borassus aethiopum, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Hyphaene thebaica, Phoenix dactylifera, Phoenix reclinata, Raphia farinifera, Raphia hookeri, Raphia palma-pinus, Raphia sudanica, Raphia vinifera"
"GEO"	"Cocos nucifera, Rhapidophyllum hystrix, Sabal palmetto, Serenoa repens"
"GER"	"NA"
"GGI"	"Borassus aethiopum, Cocos nucifera, Elaeis guineensis, Laccosperma opacum, Laccosperma secundiflorum, Phoenix dactylifera, Raphia hookeri, Raphia mannii, Raphia vinifera, Sclerosperma mannii"
"GHA"	"Borassus aethiopum, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha dransfieldii, Eremospatha macrocarpa, Hyphaene guineensis, Hyphaene thebaica, Laccosperma acutiflorum, Laccosperma laeve, Laccosperma opacum, Laccosperma secundiflorum, Phoenix reclinata, Raphia farinifera, Raphia hookeri, Raphia palma-pinus, Raphia sudanica, Raphia vinifera, Sclerosperma profizianum"
"GIL"	"Cocos nucifera"
"GNB"	"Borassus aethiopum, Borassus akeassii, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Hyphaene guineensis, Hyphaene thebaica, Laccosperma secundiflorum, Phoenix reclinata, Raphia palma-pinus"
"GNL"	"NA"
"GRB"	"NA"
"GRC"	"Phoenix canariensis, Phoenix theophrasti"
"GST"	"Nannorrhops ritchieana, Phoenix dactylifera"
"GUA"	"Acoelorrhaphe wrightii, Acrocomia aculeata, Asterogyne martiana, Astrocaryum mexicanum, Attalea cohune, Attalea rostrata, Bactris major, Bactris mexicana, Brahea calcarea, Brahea dulcis, Calyptrogyne ghiesbreghtiana, Chamaedorea adscendens, Chamaedorea arenbergiana, Chamaedorea brachypoda, Chamaedorea carchensis, Chamaedorea castillo-montii, Chamaedorea costaricana, Chamaedorea elatior, Chamaedorea elegans, Chamaedorea ernesti-augusti, Chamaedorea falcifera, Chamaedorea fractiflexa, Chamaedorea geonomiformis, Chamaedorea ibarrae, Chamaedorea keelerorum, Chamaedorea lehmannii, Chamaedorea liebmannii, Chamaedorea nationsiana, Chamaedorea neurochlamys, Chamaedorea nubium, Chamaedorea oblongata, Chamaedorea pachecoana, Chamaedorea parvisecta, Chamaedorea pinnatifrons, Chamaedorea rojasiana, Chamaedorea schippii, Chamaedorea seifrizii, Chamaedorea simplex, Chamaedorea skutchii, Chamaedorea stenocarpa, Chamaedorea stricta, Chamaedorea tenerrima, Chamaedorea tepejilote, Chamaedorea tuerckheimii, Chamaedorea verapazensis, Chamaedorea volcanensis, Chamaedorea vulgata, Chamaedorea woodsoniana, Colpothrinax cookii, Cryosophila stauracantha, Desmoncus chinantlensis, Euterpe precatoria, Gaussia maya, Geonoma deversa, Geonoma interrupta, Geonoma pinnatifrons, Geonoma undata, Manicaria saccifera, Reinhardtia gracilis, Reinhardtia latisecta, Sabal mauritiiformis, Sabal mexicana, Schippia concolor, Synechanthus fibrosus"
"GUI"	"Borassus aethiopum, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha macrocarpa, Laccosperma opacum, Laccosperma secundiflorum, Phoenix reclinata, Raphia farinifera, Raphia hookeri, Raphia palma-pinus, Raphia sudanica"
"GUY"	"Acrocomia aculeata, Astrocaryum acaule, Astrocaryum aculeatum, Astrocaryum farinosum, Astrocaryum jauari, Astrocaryum murumuru, Astrocaryum sciophilum, Astrocaryum tucuma, Astrocaryum vulgare, Attalea attaleoides, Attalea maripa, Attalea microcarpa, Attalea speciosa, Bactris acanthocarpa, Bactris acanthocarpoides, Bactris brongniartii, Bactris campestris, Bactris elegans, Bactris hirta, Bactris major, Bactris maraja, Bactris oligoclada, Bactris pliniana, Bactris ptariana, Bactris simplicifrons, Desmoncus horridus, Desmoncus parvulus, Desmoncus polyacanthos, Dictyocaryum ptarianum, Euterpe catinga, Euterpe longibracteata, Euterpe oleracea, Euterpe precatoria, Geonoma aspidiifolia, Geonoma baculifera, Geonoma deversa, Geonoma euspatha, Geonoma leptospadix, Geonoma maxima, Geonoma poiteauana, Geonoma stricta, Geonoma umbraculiformis, Geonoma undata, Hyospathe elegans, Iriartella setigera, Lepidocaryum tenue, Manicaria saccifera, Mauritia flexuosa, Mauritiella armata, Nypa fruticans, Oenocarpus bacaba, Oenocarpus bataua, Prestoea tenuiramosa, Roystonea oleracea, Socratea exorrhiza, Syagrus cocoides, Syagrus inajai, Syagrus stratincola"
"HAI"	"Acrocomia aculeata, Adonidia merrillii, Areca catechu, Attalea crassispatha, Bactris plumeriana, Calyptronoma plumeriana, Calyptronoma rivalis, Caryota mitis, Caryota urens, Coccothrinax argentea, Coccothrinax concolor, Coccothrinax fragrans, Coccothrinax gracilis, Coccothrinax jimenezii, Coccothrinax montana, Coccothrinax scoparia, Coccothrinax spissa, Cocos nucifera, Copernicia berteroana, Copernicia ekmanii, Dypsis lutescens, Elaeis guineensis, Leucothrinax morrisii, Prestoea acuminata, Pseudophoenix lediniana, Pseudophoenix sargentii, Pseudophoenix vinifera, Roystonea borinquena, Roystonea regia, Sabal causiarum, Sabal domingensis, Thrinax radiata, Zombia antillarum"
"HAW"	"Archontophoenix alexandrae, Arenga pinnata, Chamaedorea cataractarum, Coccothrinax barbadensis, Cocos nucifera, Licuala spinosa, Livistona chinensis, Pinanga coronata, Pritchardia arecina, Pritchardia bakeri, Pritchardia beccariana, Pritchardia flynnii, Pritchardia forbesiana, Pritchardia glabrata, Pritchardia gordonii, Pritchardia hardyi, Pritchardia hillebrandii, Pritchardia kaalae, Pritchardia kahukuensis, Pritchardia lanigera, Pritchardia lowreyana, Pritchardia maideniana, Pritchardia martii, Pritchardia minor, Pritchardia munroi, Pritchardia napaliensis, Pritchardia perlmanii, Pritchardia remota, Pritchardia schattaueri, Pritchardia viscosa, Pritchardia waialealeana, Pritchardia woodii, Washingtonia filifera, Washingtonia robusta"
"HBI"	"NA"
"HMD"	"NA"
